combined_shot_type,loc_x,loc_y,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_range,opponent,shot_id
Jump Shot,-109,247,0,4,0,2000-01,23,26,0.0,3PT Field Goal,Left Side Center(LC),24+ ft.,NYK,967
Jump Shot,115,-8,9,1,0,2000-01,15,11,1.0,2PT Field Goal,Right Side(R),8-16 ft.,CLE,968
Jump Shot,-77,127,7,1,0,2000-01,8,14,1.0,2PT Field Goal,Left Side(L),8-16 ft.,CLE,969
Jump Shot,159,-19,5,1,0,2000-01,54,16,,2PT Field Goal,Right Side(R),16-24 ft.,CLE,970
Jump Shot,51,-2,5,1,0,2000-01,4,5,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,CLE,971
Jump Shot,-92,116,4,1,0,2000-01,4,14,0.0,2PT Field Goal,Left Side(L),8-16 ft.,CLE,972
Jump Shot,-155,-8,3,1,0,2000-01,49,15,0.0,2PT Field Goal,Left Side(L),8-16 ft.,CLE,973
Layup,7,7,2,1,0,2000-01,41,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,CLE,974
Jump Shot,115,23,6,2,0,2000-01,52,11,0.0,2PT Field Goal,Right Side(R),8-16 ft.,CLE,976
Jump Shot,-134,7,4,2,0,2000-01,36,13,0.0,2PT Field Goal,Left Side(L),8-16 ft.,CLE,977
Layup,-12,13,4,2,0,2000-01,32,1,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CLE,978
Jump Shot,-4,40,3,2,0,2000-01,31,4,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CLE,980
Dunk,1,-8,1,2,0,2000-01,0,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,CLE,982
Jump Shot,51,13,10,3,0,2000-01,51,5,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CLE,984
Jump Shot,-33,150,7,3,0,2000-01,21,15,,2PT Field Goal,Center(C),8-16 ft.,CLE,986
Jump Shot,-141,0,5,3,0,2000-01,20,14,1.0,2PT Field Goal,Left Side(L),8-16 ft.,CLE,987
Jump Shot,1,127,3,3,0,2000-01,28,12,0.0,2PT Field Goal,Center(C),8-16 ft.,CLE,988
Jump Shot,-162,40,7,4,0,2000-01,12,16,0.0,2PT Field Goal,Left Side(L),16-24 ft.,CLE,990
Jump Shot,7,47,4,4,0,2000-01,57,4,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CLE,991
Jump Shot,1,144,3,4,0,2000-01,54,14,1.0,2PT Field Goal,Center(C),8-16 ft.,CLE,992
Jump Shot,180,-13,0,4,0,2000-01,29,18,0.0,2PT Field Goal,Right Side(R),16-24 ft.,CLE,993
Jump Shot,-136,61,10,1,0,2000-01,41,14,1.0,2PT Field Goal,Left Side(L),8-16 ft.,MIN,994
Jump Shot,113,125,5,1,0,2000-01,16,16,0.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,MIN,996
Layup,0,0,2,1,0,2000-01,51,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,MIN,997
Jump Shot,1,228,0,1,0,2000-01,33,22,0.0,2PT Field Goal,Center(C),16-24 ft.,MIN,999
Layup,0,0,5,2,0,2000-01,42,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,MIN,1000
Layup,0,0,4,2,0,2000-01,6,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,MIN,1001
Layup,0,0,0,2,0,2000-01,37,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,MIN,1002
Jump Shot,-164,23,0,2,0,2000-01,30,16,0.0,2PT Field Goal,Left Side(L),16-24 ft.,MIN,1003
Jump Shot,-143,118,9,3,0,2000-01,5,18,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,MIN,1004
Jump Shot,121,45,3,3,0,2000-01,5,12,1.0,2PT Field Goal,Right Side(R),8-16 ft.,MIN,1005
Layup,0,0,0,3,0,2000-01,47,0,,2PT Field Goal,Center(C),Less Than 8 ft.,MIN,1006
Layup,0,0,8,4,0,2000-01,53,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,MIN,1007
Layup,0,0,7,4,0,2000-01,22,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,MIN,1009
Jump Shot,172,192,3,4,0,2000-01,36,25,,3PT Field Goal,Right Side Center(RC),24+ ft.,MIN,1010
Layup,0,0,8,1,0,2000-01,24,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1011
Jump Shot,-79,181,7,1,0,2000-01,5,19,1.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,CHA,1012
Layup,0,0,4,1,0,2000-01,56,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1013
Layup,0,0,4,1,0,2000-01,30,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1014
Jump Shot,159,40,3,1,0,2000-01,24,16,,2PT Field Goal,Right Side(R),16-24 ft.,CHA,1015
Layup,0,0,2,1,0,2000-01,24,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1016
Jump Shot,132,89,0,1,0,2000-01,57,15,0.0,2PT Field Goal,Right Side(R),8-16 ft.,CHA,1017
Layup,0,0,0,1,0,2000-01,37,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1018
Jump Shot,144,23,11,2,0,2000-01,6,14,1.0,2PT Field Goal,Right Side(R),8-16 ft.,CHA,1020
Jump Shot,5,78,9,2,0,2000-01,31,7,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1021
Tip Shot,0,0,5,2,0,2000-01,51,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1022
Jump Shot,11,95,2,2,0,2000-01,35,9,1.0,2PT Field Goal,Center(C),8-16 ft.,CHA,1024
Jump Shot,-58,181,2,2,0,2000-01,5,19,0.0,2PT Field Goal,Center(C),16-24 ft.,CHA,1025
Layup,0,0,0,2,0,2000-01,16,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1027
Jump Shot,11,312,8,3,0,2000-01,26,31,0.0,3PT Field Goal,Center(C),24+ ft.,CHA,1028
Jump Shot,-149,89,5,3,0,2000-01,31,17,0.0,2PT Field Goal,Left Side(L),16-24 ft.,CHA,1030
Jump Shot,117,144,4,3,0,2000-01,58,18,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,CHA,1031
Jump Shot,132,171,3,3,0,2000-01,14,21,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,CHA,1032
Layup,0,0,1,3,0,2000-01,4,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1033
Layup,0,0,8,4,0,2000-01,4,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1035
Jump Shot,132,127,4,4,0,2000-01,35,18,0.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,CHA,1037
Jump Shot,-107,110,0,4,0,2000-01,21,15,0.0,2PT Field Goal,Left Side(L),8-16 ft.,CHA,1040
Dunk,0,0,11,1,0,2000-01,3,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,SAC,1041
Jump Shot,-197,17,9,1,0,2000-01,57,19,1.0,2PT Field Goal,Left Side(L),16-24 ft.,SAC,1042
Jump Shot,-111,135,7,1,0,2000-01,28,17,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,SAC,1043
Jump Shot,85,2,6,1,0,2000-01,11,8,0.0,2PT Field Goal,Right Side(R),8-16 ft.,SAC,1044
Jump Shot,-84,169,3,1,0,2000-01,19,18,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,SAC,1045
Jump Shot,121,175,7,2,0,2000-01,53,21,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,SAC,1046
Jump Shot,14,141,7,2,0,2000-01,21,14,,2PT Field Goal,Center(C),8-16 ft.,SAC,1047
Layup,0,0,6,2,0,2000-01,50,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,SAC,1048
Jump Shot,127,163,6,2,0,2000-01,15,20,0.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,SAC,1049
Layup,0,0,4,2,0,2000-01,16,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,SAC,1050
Jump Shot,-204,-8,1,2,0,2000-01,29,20,1.0,2PT Field Goal,Left Side(L),16-24 ft.,SAC,1053
Jump Shot,106,163,0,2,0,2000-01,50,19,,2PT Field Goal,Right Side Center(RC),16-24 ft.,SAC,1054
Jump Shot,-160,34,0,2,0,2000-01,43,16,0.0,2PT Field Goal,Left Side(L),16-24 ft.,SAC,1055
Jump Shot,142,146,11,3,0,2000-01,6,20,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,SAC,1056
Jump Shot,-27,85,10,3,0,2000-01,16,8,0.0,2PT Field Goal,Center(C),8-16 ft.,SAC,1057
Jump Shot,-27,61,9,3,0,2000-01,25,6,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,SAC,1058
Jump Shot,49,23,7,3,0,2000-01,55,5,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,SAC,1059
Jump Shot,127,169,6,3,0,2000-01,50,21,0.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,SAC,1060
Jump Shot,241,13,4,3,0,2000-01,2,24,0.0,3PT Field Goal,Right Side(R),24+ ft.,SAC,1061
Dunk,0,0,2,3,0,2000-01,57,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,SAC,1062
Jump Shot,163,7,2,3,0,2000-01,15,16,0.0,2PT Field Goal,Right Side(R),16-24 ft.,SAC,1063
Jump Shot,-27,141,0,3,0,2000-01,40,14,0.0,2PT Field Goal,Center(C),8-16 ft.,SAC,1064
Jump Shot,-54,57,5,4,0,2000-01,16,7,,2PT Field Goal,Center(C),Less Than 8 ft.,SAC,1065
Jump Shot,-132,61,5,1,0,2000-01,21,14,0.0,2PT Field Goal,Left Side(L),8-16 ft.,PHX,1067
Jump Shot,-54,192,4,1,0,2000-01,57,19,1.0,2PT Field Goal,Center(C),16-24 ft.,PHX,1068
Jump Shot,-6,203,1,1,0,2000-01,47,20,0.0,2PT Field Goal,Center(C),16-24 ft.,PHX,1069
Jump Shot,22,304,0,1,0,2000-01,0,30,1.0,3PT Field Goal,Center(C),24+ ft.,PHX,1070
Dunk,0,0,9,2,0,2000-01,51,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,PHX,1071
Jump Shot,134,-25,5,2,0,2000-01,20,13,0.0,2PT Field Goal,Right Side(R),8-16 ft.,PHX,1072
Jump Shot,-132,108,1,2,0,2000-01,18,17,1.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,PHX,1073
Jump Shot,106,696,0,2,0,2000-01,0,70,0.0,3PT Field Goal,Back Court(BC),Back Court Shot,PHX,1074
Jump Shot,-132,-2,9,3,0,2000-01,52,13,,2PT Field Goal,Left Side(L),8-16 ft.,PHX,1075
Jump Shot,73,112,8,3,0,2000-01,23,13,0.0,2PT Field Goal,Right Side(R),8-16 ft.,PHX,1076
Dunk,0,0,8,3,0,2000-01,1,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,PHX,1077
Layup,0,0,7,3,0,2000-01,30,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,PHX,1078
Jump Shot,127,125,6,3,0,2000-01,18,17,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,PHX,1079
Dunk,0,0,4,3,0,2000-01,44,0,,2PT Field Goal,Center(C),Less Than 8 ft.,PHX,1080
Jump Shot,-141,-15,11,4,0,2000-01,8,14,0.0,2PT Field Goal,Left Side(L),8-16 ft.,PHX,1081
Layup,0,0,9,4,0,2000-01,39,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,PHX,1082
Jump Shot,-141,2,7,4,0,2000-01,33,14,1.0,2PT Field Goal,Left Side(L),8-16 ft.,PHX,1083
Jump Shot,-174,28,6,4,0,2000-01,18,17,0.0,2PT Field Goal,Left Side(L),16-24 ft.,PHX,1084
Layup,0,0,5,4,0,2000-01,4,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,PHX,1085
Jump Shot,-111,57,4,4,0,2000-01,27,12,0.0,2PT Field Goal,Left Side(L),8-16 ft.,PHX,1086
Layup,0,0,2,4,0,2000-01,8,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,PHX,1088
Jump Shot,-111,34,1,4,0,2000-01,33,11,1.0,2PT Field Goal,Left Side(L),8-16 ft.,PHX,1089
Jump Shot,58,203,0,4,0,2000-01,59,21,0.0,2PT Field Goal,Center(C),16-24 ft.,PHX,1090
Jump Shot,28,179,0,4,0,2000-01,25,18,0.0,2PT Field Goal,Center(C),16-24 ft.,PHX,1091
Layup,0,0,10,1,0,2000-01,31,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,NJN,1093
Layup,0,0,2,1,0,2000-01,22,0,,2PT Field Goal,Center(C),Less Than 8 ft.,NJN,1095
Jump Shot,73,87,1,1,0,2000-01,4,11,,2PT Field Goal,Right Side(R),8-16 ft.,NJN,1096
Layup,0,0,0,1,0,2000-01,1,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,NJN,1097
Layup,0,0,10,3,0,2000-01,0,0,,2PT Field Goal,Center(C),Less Than 8 ft.,NJN,1100
Jump Shot,37,99,8,3,0,2000-01,59,10,0.0,2PT Field Goal,Center(C),8-16 ft.,NJN,1101
Jump Shot,-170,15,7,3,0,2000-01,49,17,1.0,2PT Field Goal,Left Side(L),16-24 ft.,NJN,1103
Layup,0,0,6,3,0,2000-01,13,0,,2PT Field Goal,Center(C),Less Than 8 ft.,NJN,1104
Jump Shot,-92,4,3,3,0,2000-01,12,9,1.0,2PT Field Goal,Left Side(L),8-16 ft.,NJN,1105
Jump Shot,180,177,0,3,0,2000-01,1,25,,3PT Field Goal,Right Side Center(RC),24+ ft.,NJN,1106
Jump Shot,-134,11,6,4,0,2000-01,56,13,1.0,2PT Field Goal,Left Side(L),8-16 ft.,NJN,1107
Jump Shot,-12,264,5,4,0,2000-01,17,26,,3PT Field Goal,Center(C),24+ ft.,NJN,1108
Layup,0,0,4,4,0,2000-01,14,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,NJN,1109
Layup,0,0,1,4,0,2000-01,37,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,NJN,1110
Layup,0,0,1,4,0,2000-01,4,0,,2PT Field Goal,Center(C),Less Than 8 ft.,NJN,1111
Jump Shot,1,184,0,4,0,2000-01,6,18,0.0,2PT Field Goal,Center(C),16-24 ft.,NJN,1112
Jump Shot,-141,219,3,5,0,2000-01,39,26,0.0,3PT Field Goal,Left Side Center(LC),24+ ft.,NJN,1113
Layup,0,0,3,5,0,2000-01,33,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,NJN,1114
Jump Shot,144,34,2,5,0,2000-01,2,14,0.0,2PT Field Goal,Right Side(R),8-16 ft.,NJN,1115
Layup,0,0,1,5,0,2000-01,31,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,NJN,1116
Layup,0,0,0,5,0,2000-01,4,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,NJN,1117
Jump Shot,167,0,9,2,0,2000-01,37,16,,2PT Field Goal,Right Side(R),16-24 ft.,PHI,1119
Dunk,0,0,5,2,0,2000-01,44,0,,2PT Field Goal,Center(C),Less Than 8 ft.,PHI,1120
Jump Shot,-16,268,4,2,0,2000-01,1,26,1.0,3PT Field Goal,Center(C),24+ ft.,PHI,1121
Jump Shot,-151,93,3,2,0,2000-01,37,17,0.0,2PT Field Goal,Left Side(L),16-24 ft.,PHI,1122
Layup,0,0,2,2,0,2000-01,10,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,PHI,1123
Jump Shot,153,99,10,3,0,2000-01,55,18,,2PT Field Goal,Right Side(R),16-24 ft.,PHI,1124
Jump Shot,-151,87,9,3,0,2000-01,31,17,0.0,2PT Field Goal,Left Side(L),16-24 ft.,PHI,1125
Jump Shot,-29,110,7,3,0,2000-01,51,11,,2PT Field Goal,Center(C),8-16 ft.,PHI,1126
Jump Shot,153,4,5,3,0,2000-01,49,15,0.0,2PT Field Goal,Right Side(R),8-16 ft.,PHI,1127
Layup,0,0,5,3,0,2000-01,20,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,PHI,1128
Jump Shot,161,66,0,3,0,2000-01,36,17,0.0,2PT Field Goal,Right Side(R),16-24 ft.,PHI,1129
Jump Shot,191,177,4,4,0,2000-01,39,26,0.0,3PT Field Goal,Right Side Center(RC),24+ ft.,PHI,1130
Dunk,0,0,8,1,0,2000-01,54,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1132
Jump Shot,-155,47,2,1,0,2000-01,41,16,0.0,2PT Field Goal,Left Side(L),16-24 ft.,CHA,1134
Jump Shot,94,179,10,2,0,2000-01,56,20,,2PT Field Goal,Right Side Center(RC),16-24 ft.,CHA,1136
Jump Shot,-113,148,9,2,0,2000-01,10,18,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,CHA,1137
Jump Shot,-92,169,0,2,0,2000-01,2,19,1.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,CHA,1140
Tip Shot,0,0,8,3,0,2000-01,57,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1141
Jump Shot,43,57,5,3,0,2000-01,40,7,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1143
Jump Shot,-141,70,5,3,0,2000-01,9,15,0.0,2PT Field Goal,Left Side(L),8-16 ft.,CHA,1144
Jump Shot,58,26,6,4,0,2000-01,37,6,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1145
Jump Shot,-149,125,1,4,0,2000-01,39,19,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,CHA,1146
Layup,0,0,0,4,0,2000-01,50,0,,2PT Field Goal,Center(C),Less Than 8 ft.,CHA,1147
Layup,9,11,10,1,0,2000-01,38,1,,2PT Field Goal,Center(C),Less Than 8 ft.,IND,1148
Jump Shot,134,129,6,1,0,2000-01,12,18,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,IND,1149
Jump Shot,148,97,5,1,0,2000-01,47,17,0.0,2PT Field Goal,Right Side(R),16-24 ft.,IND,1150
Layup,22,4,9,2,0,2000-01,41,2,,2PT Field Goal,Center(C),Less Than 8 ft.,IND,1153
Jump Shot,51,40,4,2,0,2000-01,2,6,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,IND,1154
Jump Shot,-206,91,0,2,0,2000-01,30,22,0.0,2PT Field Goal,Left Side(L),16-24 ft.,IND,1156
Layup,1,21,0,2,0,2000-01,2,2,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,IND,1157
Jump Shot,-71,129,11,3,0,2000-01,33,14,1.0,2PT Field Goal,Center(C),8-16 ft.,IND,1158
Layup,9,15,11,3,0,2000-01,14,1,,2PT Field Goal,Center(C),Less Than 8 ft.,IND,1159
Jump Shot,-56,28,9,3,0,2000-01,32,6,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,IND,1160
Jump Shot,-94,15,7,3,0,2000-01,50,9,1.0,2PT Field Goal,Left Side(L),8-16 ft.,IND,1161
Jump Shot,140,11,5,3,0,2000-01,20,14,,2PT Field Goal,Right Side(R),8-16 ft.,IND,1162
Jump Shot,1,289,3,3,0,2000-01,55,28,0.0,3PT Field Goal,Center(C),24+ ft.,IND,1163
Jump Shot,1,34,2,3,0,2000-01,55,3,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,IND,1164
Jump Shot,-162,4,11,4,0,2000-01,46,16,0.0,2PT Field Goal,Left Side(L),16-24 ft.,IND,1166
Layup,9,0,7,4,0,2000-01,34,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,IND,1168
Jump Shot,-48,91,6,4,0,2000-01,0,10,0.0,2PT Field Goal,Center(C),8-16 ft.,IND,1169
Jump Shot,-94,-4,4,4,0,2000-01,49,9,0.0,2PT Field Goal,Left Side(L),8-16 ft.,IND,1170
Jump Shot,-65,169,4,4,0,2000-01,18,18,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,IND,1171
Dunk,9,4,3,4,0,2000-01,4,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,IND,1173
Jump Shot,237,4,0,4,0,2000-01,2,23,,3PT Field Goal,Right Side(R),24+ ft.,IND,1175
Layup,0,0,10,1,0,2000-01,23,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DAL,1176
Jump Shot,62,217,5,1,0,2000-01,15,22,,2PT Field Goal,Center(C),16-24 ft.,DAL,1177
Jump Shot,-151,30,10,2,0,2000-01,59,15,0.0,2PT Field Goal,Left Side(L),8-16 ft.,DAL,1178
Jump Shot,3,137,6,2,0,2000-01,2,13,1.0,2PT Field Goal,Center(C),8-16 ft.,DAL,1179
Jump Shot,-193,93,2,2,0,2000-01,39,21,1.0,2PT Field Goal,Left Side(L),16-24 ft.,DAL,1181
Jump Shot,-202,19,2,2,0,2000-01,11,20,0.0,2PT Field Goal,Left Side(L),16-24 ft.,DAL,1182
Jump Shot,-23,126,11,3,0,2000-01,5,12,0.0,2PT Field Goal,Center(C),8-16 ft.,DAL,1183
Jump Shot,3,66,10,3,0,2000-01,28,6,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,DAL,1184
Jump Shot,146,19,8,3,0,2000-01,5,14,0.0,2PT Field Goal,Right Side(R),8-16 ft.,DAL,1185
Jump Shot,77,4,3,3,0,2000-01,4,7,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DAL,1186
Jump Shot,-29,49,0,3,0,2000-01,33,5,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DAL,1187
Layup,0,0,0,3,0,2000-01,3,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DAL,1188
Jump Shot,146,36,11,4,0,2000-01,14,15,1.0,2PT Field Goal,Right Side(R),8-16 ft.,DAL,1189
Layup,0,0,8,4,0,2000-01,14,0,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DAL,1190
Jump Shot,18,42,2,4,0,2000-01,16,4,,2PT Field Goal,Center(C),Less Than 8 ft.,DAL,1191
Jump Shot,-155,34,11,1,0,2000-01,18,15,1.0,2PT Field Goal,Left Side(L),8-16 ft.,DEN,1192
Jump Shot,-92,158,8,1,0,2000-01,15,18,1.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,DEN,1193
Jump Shot,-191,80,6,1,0,2000-01,32,20,,2PT Field Goal,Left Side(L),16-24 ft.,DEN,1194
Layup,0,0,3,1,0,2000-01,53,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,1195
Jump Shot,-18,203,2,1,0,2000-01,46,20,,2PT Field Goal,Center(C),16-24 ft.,DEN,1196
Layup,7,30,5,2,0,2000-01,36,3,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,1197
Jump Shot,22,80,5,2,0,2000-01,19,8,,2PT Field Goal,Center(C),8-16 ft.,DEN,1198
Jump Shot,-12,101,4,2,0,2000-01,39,10,,2PT Field Goal,Center(C),8-16 ft.,DEN,1199
Jump Shot,159,135,2,2,0,2000-01,16,20,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,DEN,1201
Jump Shot,7,253,1,2,0,2000-01,17,25,1.0,3PT Field Goal,Center(C),24+ ft.,DEN,1203
Jump Shot,-170,-2,10,3,0,2000-01,36,17,1.0,2PT Field Goal,Left Side(L),16-24 ft.,DEN,1204
Jump Shot,-149,0,7,3,0,2000-01,23,14,,2PT Field Goal,Left Side(L),8-16 ft.,DEN,1205
Jump Shot,201,148,6,3,0,2000-01,44,24,1.0,3PT Field Goal,Right Side Center(RC),24+ ft.,DEN,1206
Jump Shot,115,186,5,3,0,2000-01,12,21,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,DEN,1207
Jump Shot,-200,7,3,3,0,2000-01,57,20,1.0,2PT Field Goal,Left Side(L),16-24 ft.,DEN,1208
Jump Shot,-12,57,2,3,0,2000-01,29,5,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,1209
Layup,0,0,2,3,0,2000-01,8,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,1210
Jump Shot,153,152,11,4,0,2000-01,36,21,0.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,DEN,1211
Jump Shot,7,213,9,4,0,2000-01,23,21,,2PT Field Goal,Center(C),16-24 ft.,DEN,1212
Layup,-18,7,9,4,0,2000-01,21,1,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,DEN,1213
Jump Shot,-42,209,6,4,0,2000-01,43,21,1.0,2PT Field Goal,Center(C),16-24 ft.,DEN,1214
Jump Shot,180,118,5,4,0,2000-01,11,21,1.0,2PT Field Goal,Right Side(R),16-24 ft.,DEN,1215
Jump Shot,-170,34,1,4,0,2000-01,28,17,1.0,2PT Field Goal,Left Side(L),16-24 ft.,DEN,1216
Jump Shot,-149,224,0,4,0,2000-01,31,26,0.0,3PT Field Goal,Left Side Center(LC),24+ ft.,DEN,1217
Jump Shot,79,253,0,4,0,2000-01,3,26,0.0,3PT Field Goal,Center(C),24+ ft.,DEN,1218
Jump Shot,188,392,0,4,0,2000-01,0,43,0.0,3PT Field Goal,Right Side Center(RC),24+ ft.,DEN,1219
Jump Shot,-122,173,10,1,0,2000-01,39,21,0.0,2PT Field Goal,Left Side Center(LC),16-24 ft.,VAN,1220
Jump Shot,-191,59,0,1,0,2000-01,25,19,1.0,2PT Field Goal,Left Side(L),16-24 ft.,VAN,1221
Jump Shot,-44,384,0,1,0,2000-01,0,38,0.0,3PT Field Goal,Center(C),24+ ft.,VAN,1222
Dunk,5,13,8,2,0,2000-01,39,1,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,VAN,1223
Jump Shot,117,135,5,2,0,2000-01,27,17,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,VAN,1224
Jump Shot,132,179,2,2,0,2000-01,25,22,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,VAN,1225
Jump Shot,159,40,2,2,0,2000-01,4,16,,2PT Field Goal,Right Side(R),16-24 ft.,VAN,1226
Jump Shot,-164,125,2,3,0,2000-01,9,20,,2PT Field Goal,Left Side Center(LC),16-24 ft.,VAN,1230
Layup,-1,26,1,3,0,2000-01,30,2,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,VAN,1231
Jump Shot,11,251,7,4,0,2000-01,50,25,,3PT Field Goal,Center(C),24+ ft.,VAN,1232
Jump Shot,172,59,6,4,0,2000-01,19,18,0.0,2PT Field Goal,Right Side(R),16-24 ft.,VAN,1233
Jump Shot,-50,26,4,4,0,2000-01,51,5,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,VAN,1234
Jump Shot,-1,53,3,4,0,2000-01,45,5,0.0,2PT Field Goal,Center(C),Less Than 8 ft.,VAN,1235
Jump Shot,106,163,10,1,0,2000-01,10,19,1.0,2PT Field Goal,Right Side Center(RC),16-24 ft.,GSW,1236
Hook Shot,0,0,7,1,0,2000-01,55,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,1238
Jump Shot,142,230,3,1,0,2000-01,8,27,0.0,3PT Field Goal,Right Side Center(RC),24+ ft.,GSW,1239
Dunk,0,0,1,1,0,2000-01,35,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,1240
Layup,0,0,0,1,0,2000-01,5,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,1242
Layup,0,0,3,2,0,2000-01,42,0,1.0,2PT Field Goal,Center(C),Less Than 8 ft.,GSW,1243
Jump Shot,64,131,10,3,0,2000-01,30,14,0.0,2PT Field Goal,Center(C),8-16 ft.,GSW,1244
